feature,class,coefficient
prior_cesd,improving,1.9921322946249442
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,-0.07247894632620726
mean_daily_social_ratio,improving,-0.0063809739091395335
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,0.0
mean_daily_screens_delta,improving,0.0
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,0.0
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.0
gender_mode_1,improving,0.0
gender_mode_2,improving,-0.06513077457891775
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.0
lag_mean_daily_social_ratio,improving,0.0
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.0
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.08515166595783683
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.0
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.0
person_mean_cesd,improving,-1.6332371587185026
prior_cesd,stable,0.0
active_day_ratio_delta,stable,-0.09992081408168156
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,0.0
mean_daily_social_ratio_delta,stable,-0.09232723518317994
age,stable,0.028176158448354815
mean_daily_screens,stable,0.034233714615129245
mean_daily_screens_delta,stable,0.0
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,-0.11099063539231974
mean_daily_switches,stable,0.0
mean_daily_switches_delta,stable,-0.002809508596885529
switches_per_screen,stable,0.0
switches_per_screen_delta,stable,-0.08076761617648463
mean_daily_social_screens,stable,0.0
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.037760649449355685
clip_dispersion_delta,stable,0.0
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.015577897616802045
lag_mean_daily_overnight_ratio,stable,-0.035690999446447394
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,0.002412206500322269
lag_mean_daily_screens_delta,stable,0.0
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,-0.01881338209138002
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,-0.09560235119271196
lag_switches_per_screen,stable,0.0
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.027057362432409252
lag_clip_dispersion,stable,0.014548695586084855
lag_clip_dispersion_delta,stable,0.06111490579209702
person_mean_cesd,stable,0.0
prior_cesd,worsening,-0.8357408403957179
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.0
mean_daily_overnight_ratio_delta,worsening,0.02519420733385615
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.013895671063787213
age,worsening,-0.018615017670154978
mean_daily_screens,worsening,0.0
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.045295791751080665
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.0
clip_dispersion,worsening,0.0
clip_dispersion_delta,worsening,0.0
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.001760676589141967
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.020062818282721214
lag_mean_daily_overnight_ratio_delta,worsening,-0.008176706300678788
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.0
lag_mean_daily_social_screens,worsening,0.0
lag_mean_daily_social_screens_delta,worsening,0.0
lag_clip_dispersion,worsening,0.0
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,0.9317759594101446
