feature,class,coefficient
prior_cesd,improving,0.18588918363966483
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,0.0
mean_daily_social_ratio,improving,0.0
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,0.0
mean_daily_screens_delta,improving,0.0
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.0
mean_daily_social_screens_delta,improving,0.0
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.0
gender_mode_1,improving,0.0
gender_mode_2,improving,0.0
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.0
lag_mean_daily_overnight_ratio_delta,improving,0.0
lag_mean_daily_social_ratio,improving,0.0
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.0
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.0
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,0.0
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.0
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.0
person_mean_cesd,improving,-0.04812022691892333
prior_cesd,stable,0.0
active_day_ratio_delta,stable,0.0
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,0.0
mean_daily_social_ratio_delta,stable,0.0
age,stable,0.0
mean_daily_screens,stable,0.0
mean_daily_screens_delta,stable,0.0
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,0.0
mean_daily_switches,stable,0.0
mean_daily_switches_delta,stable,0.0
switches_per_screen,stable,0.0
switches_per_screen_delta,stable,0.0
mean_daily_social_screens,stable,0.0
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.0
clip_dispersion_delta,stable,0.0
gender_mode_1,stable,0.0
gender_mode_2,stable,0.0
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,0.0
lag_mean_daily_screens_delta,stable,0.0
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,0.0
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,0.0
lag_switches_per_screen,stable,0.0
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.0
lag_clip_dispersion,stable,0.0
lag_clip_dispersion_delta,stable,0.0
person_mean_cesd,stable,0.0
prior_cesd,worsening,-0.12311098984507789
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.0
mean_daily_overnight_ratio_delta,worsening,0.0
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.0
age,worsening,0.0
mean_daily_screens,worsening,0.0
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.0
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.0
clip_dispersion,worsening,0.0
clip_dispersion_delta,worsening,0.0
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.0
lag_mean_daily_overnight_ratio,worsening,0.0
lag_mean_daily_overnight_ratio_delta,worsening,0.0
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.0
lag_switches_per_screen_delta,worsening,0.0
lag_mean_daily_social_screens,worsening,0.0
lag_mean_daily_social_screens_delta,worsening,0.0
lag_clip_dispersion,worsening,0.0
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,0.202534572466637
